Date :,2/7/20 12:24,,,,,,,,,,,
Motion Threshold (au):,20,,,,,,,,,,,
Detection Method:,Linear,,,,,,,,,,,
Min Freeze Duration (f):,30,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Component Details,,,,,,,,,,,,
Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber2,258,squad-1,10,2,8.867,0.46,44.33,80.88,0,1090
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber2,258,squad-1,11,2,8.5,0.44,42.5,78.42,0,744
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber2,258,squad-1,12,0,0,0,0,297.81,0,1542
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber2,258,squad-1,Tone-1,2,12.167,0.63,60.83,29.3,0,453
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber2,258,squad-1,Trace-1,1,11.167,0.58,55.83,48.55,0,511
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber2,258,squad-1,13,2,6.767,0.35,33.83,93.27,0,944
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber2,258,squad-1,14,3,6.133,0.32,30.67,48.66,0,627
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber2,258,squad-1,15,2,2.533,0.13,12.67,68.4,0,519
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber2,258,squad-1,16,4,12.233,0.64,61.17,11.83,0,209
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber2,258,squad-1,17,5,15.067,0.78,75.33,5.39,0,151
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber2,258,squad-1,18,2,2.667,0.14,13.33,132,0,819
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber2,258,squad-1,19,0,0,0,0,269.5,0,1540
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber2,258,squad-1,20,0,0,0,0,301.14,0,1544
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber2,258,squad-1,21,4,10.933,0.57,54.67,63.93,0,809
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber2,258,squad-1,22,0,0,0,0,107.42,0,666
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber2,258,squad-1,23,0,0,0,0,155.02,0,805
